actual_bucket,n,mae,rmse,mean_signed_err,mean_actual,mean_pred,model
<0,1243858,45.7946068538464,67.01441456410106,45.79187237249429,-14.918354024333967,30.873518348160324,dep_12k_ep12
0-15,361998,26.720678123859066,51.40946432790573,23.089676802565645,5.8112310012762505,28.900907803841896,dep_12k_ep12
15-60,291340,29.71129986123822,45.420296643624354,-1.3871486659928247,30.89740509370495,29.510256427712125,dep_12k_ep12
60-120,96110,62.40716027006683,69.13712590014998,-39.587423591693,83.97479970866715,44.387376116974146,dep_12k_ep12
120-240,52388,112.03196603083768,123.83338906133315,-98.36856631388059,162.65927311598077,64.29070680210017,dep_12k_ep12
240-720,15428,273.03986125416947,299.2764708781215,-272.8145407313775,334.65607985480943,61.84153912343193,dep_12k_ep12
720+,1974,939.9211186359937,964.4323876018775,-939.9211186359937,991.8723404255319,51.95122178953817,dep_12k_ep12
<0,552244,7.760430043946849,16.841803366228696,7.33687318940728,-4.918470820869036,2.418402368538244,dep_12k_ordinal_ep25
0-15,245889,8.702142950073032,17.45596473026125,0.8094136334220116,4.655677968514248,5.46509160193626,dep_12k_ordinal_ep25
15-60,148456,23.647769878604667,30.310726244421144,-10.71376804485336,31.16951150509242,20.45574346023906,dep_12k_ordinal_ep25
60-120,49798,47.21077925565112,57.24286533966534,-34.017802590433895,83.74430700028114,49.726504409847244,dep_12k_ordinal_ep25
120-240,26313,85.21138241915294,105.07333085037298,-77.25991321435718,162.49162011173183,85.23170689737466,dep_12k_ordinal_ep25
240-720,7875,233.806974477811,276.0748484632176,-232.69963986564582,333.1653333333333,100.46569346768752,dep_12k_ordinal_ep25
720+,973,956.6814154056183,983.735438486889,-956.6814154056183,998.9208633093525,42.239447903734195,dep_12k_ordinal_ep25
